,Unnamed: 0,f1_scores,perc_withaddednoise,dataset
395,95,0.912,0.15,Lee_et_al_Science_Covidonly
396,96,0.898,0.15,Lee_et_al_Science_Covidonly
397,97,0.908,0.15,Lee_et_al_Science_Covidonly
398,98,0.914,0.15,Lee_et_al_Science_Covidonly
399,99,0.902,0.15,Lee_et_al_Science_Covidonly
400,0,0.906,0.1,Lee_et_al_Science_Covidonly
401,1,0.901,0.1,Lee_et_al_Science_Covidonly
402,2,0.9,0.1,Lee_et_al_Science_Covidonly
403,3,0.912,0.1,Lee_et_al_Science_Covidonly
404,4,0.906,0.1,Lee_et_al_Science_Covidonly
405,5,0.905,0.1,Lee_et_al_Science_Covidonly
406,6,0.909,0.1,Lee_et_al_Science_Covidonly
407,7,0.91,0.1,Lee_et_al_Science_Covidonly
408,8,0.912,0.1,Lee_et_al_Science_Covidonly
409,9,0.902,0.1,Lee_et_al_Science_Covidonly
410,10,0.908,0.1,Lee_et_al_Science_Covidonly
411,11,0.912,0.1,Lee_et_al_Science_Covidonly
412,12,0.911,0.1,Lee_et_al_Science_Covidonly
413,13,0.909,0.1,Lee_et_al_Science_Covidonly
414,14,0.907,0.1,Lee_et_al_Science_Covidonly
415,15,0.906,0.1,Lee_et_al_Science_Covidonly
416,16,0.912,0.1,Lee_et_al_Science_Covidonly
417,17,0.906,0.1,Lee_et_al_Science_Covidonly
418,18,0.911,0.1,Lee_et_al_Science_Covidonly
419,19,0.914,0.1,Lee_et_al_Science_Covidonly
420,20,0.911,0.1,Lee_et_al_Science_Covidonly
421,21,0.912,0.1,Lee_et_al_Science_Covidonly
422,22,0.911,0.1,Lee_et_al_Science_Covidonly
423,23,0.906,0.1,Lee_et_al_Science_Covidonly
424,24,0.909,0.1,Lee_et_al_Science_Covidonly
425,25,0.911,0.1,Lee_et_al_Science_Covidonly
426,26,0.903,0.1,Lee_et_al_Science_Covidonly
427,27,0.912,0.1,Lee_et_al_Science_Covidonly
428,28,0.906,0.1,Lee_et_al_Science_Covidonly
429,29,0.912,0.1,Lee_et_al_Science_Covidonly
430,30,0.904,0.1,Lee_et_al_Science_Covidonly
431,31,0.906,0.1,Lee_et_al_Science_Covidonly
432,32,0.904,0.1,Lee_et_al_Science_Covidonly
433,33,0.912,0.1,Lee_et_al_Science_Covidonly
434,34,0.905,0.1,Lee_et_al_Science_Covidonly
435,35,0.904,0.1,Lee_et_al_Science_Covidonly
436,36,0.903,0.1,Lee_et_al_Science_Covidonly
437,37,0.911,0.1,Lee_et_al_Science_Covidonly
438,38,0.909,0.1,Lee_et_al_Science_Covidonly
