,f1_scores,perc_withaddednoise,dataset
83,0.909,0.05,Lee_et_al_Science_HConly
84,0.909,0.05,Lee_et_al_Science_HConly
85,0.93,0.05,Lee_et_al_Science_HConly
86,0.882,0.05,Lee_et_al_Science_HConly
87,0.929,0.05,Lee_et_al_Science_HConly
88,0.934,0.05,Lee_et_al_Science_HConly
89,0.93,0.05,Lee_et_al_Science_HConly
90,0.935,0.05,Lee_et_al_Science_HConly
91,0.928,0.05,Lee_et_al_Science_HConly
92,0.937,0.05,Lee_et_al_Science_HConly
93,0.935,0.05,Lee_et_al_Science_HConly
94,0.91,0.05,Lee_et_al_Science_HConly
95,0.932,0.05,Lee_et_al_Science_HConly
96,0.929,0.05,Lee_et_al_Science_HConly
97,0.883,0.05,Lee_et_al_Science_HConly
98,0.936,0.05,Lee_et_al_Science_HConly
99,0.937,0.05,Lee_et_al_Science_HConly
